Word	Counts
daesang	367
EXID	367
PD	366
police	366
With	366
small	364
scriptwriter	364
Taeyang	364
Geun	363
writing	363
agree	362
Your	362
lawsuit	361
shot	361
stuck	359
seemed	359
tons	358
outfits	358
random	358
hating	358
fashion	357
dare	357
Velvet	355
opportunity	355
fat	354
ruined	353
Finally	353
honest	352
promos	352
society	352
4minute	351
actions	351
written	350
Music	349
Hi	349
interest	348
keeps	348
low	348
rap	348
English	347
accident	347
whenever	347
Minho	346
bodies	346
expression	346
gives	345
lie	344
food	343
model	343
potential	343
attitude	343
harder	342
casting	341
student	340
minute	338
likes	337
grateful	336
terms	335
Since	335
hip	335
Me	334
Fans	334
income	334
acts	334
recently	333
scenes	333
mind	333
First	333
shield	332
season	332
chose	331
Shinhwa	331
hearing	331
uncomfortable	331
noticed	330
eating	329
attend	329
Thank	328
law	328
director	327
Gangnam	327
rookies	326
experience	325
jjang	325
version	325
cheap	325
air	324
failed	323
quit	323
outside	323
WG	322
trend	322
Block	322
open	322
IOI	322
became	322
photos	321
damn	321
hop	321
On	320
nobody	320
Victoria	320
grow	320
death	320
towards	319
Sorry	319
Both	319
smile	319
telling	318
sister	318
kill	318
unit	317
senior	317
Or	316
fall	316
rich	315
receive	315
deserves	314
BoA	314
Guk	314
event	314
releasing	313
ceremony	312
training	312
brought	311
despite	310
Sun	310
worry	310
An	310
none	309
bother	309
Seoul	309
market	309
foreigners	308
excuse	308
hopeless	308
tch	307
physical	307
feelings	307
Yoochun	307
generation	307
entertainment	306
hands	306
loved	306
light	305
clean	305
ㅎㅎㅎ	304
unless	304
Yong	303
Dragon	303
effort	303
inside	303
obsessed	303
pregnant	303
several	302
easily	302
Great	301
Seungri	301
Shi	300
compare	300
BTS	300
five	300
Hallyu	299
spread	299
cold	298
managed	298
speech	298
movies	297
coordi	297
showed	297
disappointed	297
birth	296
filming	296
forever	296
Choa	296
received	296
deny	296
bought	295
Our	295
sigh	295
Hoo	295
activities	295
water	295
Seriously	294
yeah	294
anti	294
drunk	294
sitting	293
matches	292
band	292
Eunji	291
Ailee	291
Ugh	290
schedule	290
nugu	289
amount	288
ba	288
serve	288
copy	288
School	288
sales	287
becoming	287
Too	287
laughing	287
varieties	286
shocking	285
schedules	285
awesome	285
suffering	285
choose	285
ajumma	284
normally	284
SBS	284
proof	283
Challenge	282
Tzuyu	282
Find	282
marketing	282
CFs	281
bringing	281
fight	281
nation	281
Yuri	281
involved	281
force	281
almost	280
Junsu	280
hours	280
twenties	280
puts	280
relationships	280
internet	279
jail	279
Probably	279
treated	279
lack	279
Melon	278
biggest	278
boy	277
Black	277
shocked	277
fail	277
number	277
Whether	277
cried	277
shut	277
standards	276
actresses	276
Somi	276
Baekhyun	276
passed	276
rid	276
met	275
current	275
judge	275
healthy	275
position	275
wins	274
Obviously	274
dog	274
pass	273
ex	273
Definitely	273
example	273
11	273
ton	273
Infinity	273
die	273
kicked	273
Se	272
cover	272
anywhere	272
rate	272
hits	271
praise	271
ends	271
suicide	271
bottom	270
happens	270
Men	269
lying	269
talked	269
beginning	268
50	268
nuna	268
videos	268
gay	268
test	267
Hyuk	267
move	266
tears	266
Poor	266
reflect	266
sell	265
jaw	265
system	265
disrespectful	265
Ilbe	265
C	265
height	264
check	264
contracts	263
Have	263
Radio	262
Soon	262
based	262
features	262
above	262
health	261
action	261
official	261
sold	261
billion	261
Gyo	261
results	260
losing	260
Kyuhyun	260
controversial	260
decided	260
jobs	259
treat	259
thanks	258
Congrats	258
trainee	258
Sang	258
stages	258
question	257
black	257
Every	257
drop	256
everywhere	256
Talk	256
failure	256
drugs	256
serious	256
morning	255
Ahn	255
Where	255
JYJ	255
choice	254
Hyung	254
soldiers	254
Moon	254
statement	254
Mnet	253
dream	253
Sunye	252
negative	252
weeks	252
hot	252
played	252
screentime	252
Sohee	252
turning	252
Jonghyun	251
dressed	251
leaves	251
fair	250
Baek	250
Only	250
Like	250
Nothing	250
Am	249
Ye	249
Cha	249
15	249
sit	249
Bora	249
begin	248
self	248
evidence	248
study	248
events	248
lip	248
practice	248
Sooyoung	247
Anyway	247
dropped	247
Hoon	246
pre	246
kiss	246
Hwayoung	246
driving	246
hiatus	245
Come	245
enjoy	245
eventually	245
mentioned	245
expressions	244
confirmed	244
fresh	244
Shouldn	244
calls	244
sometimes	243
tone	243
Hopefully	243
antis	243
Yewon	243
butt	243
sajaegi	243
sleep	243
Never	242
god	242
Taemin	242
throwing	242
Some	241
Soyu	241
reflection	241
adult	241
tard	241
Jimin	241
needed	240
bunch	240
Be	240
indeed	240
fu	239
wow	239
Still	239
commit	239
leader	239
culture	238
smart	238
join	238
While	238
dongsaeng	238
clear	238
realized	237
rapper	237
Although	237
CNBLUE	237
bright	237
Gong	237
lines	237
ways	237
sponsor	236
among	236
wake	236
vote	236
keeping	236
recognize	236
fell	236
kg	236
program	236
Seohyun	236
certain	236
fix	235
Other	235
third	235
apologized	235
minutes	235
Gi	235
MV	234
smiling	234
charm	234
spend	234
sang	233
E	232
competition	232
Thought	232
purposely	232
Wook	232
Makes	232
Kwanghee	232
majority	232
controversies	231
however	231
decent	231
Luna	231
dated	231
brand	231
favorite	231
active	231
Sunhwa	230
ruin	230
hospital	230
practically	230
seniors	230
birthday	230
High	230
streets	229
vacation	229
hell	229
tall	229
order	229
speak	229
trouble	229
plagiarism	229
Mamamoo	228
disease	228
Sounds	228
shoot	228
desperate	228
KBS	228
cause	228
aside	228
Will	228
return	228
parts	227
MBC	227
choreography	227
individual	227
Once	227
bare	227
flag	226
problems	226
swear	226
eliminated	226
responsibility	225
Sunmi	225
nim	225
elementary	225
threw	225
Sure	225
mental	225
figure	224
performing	224
Twitter	224
aegyo	223
Another	223
send	223
gained	223
summer	223
Show	222
hide	222
soldier	222
unfortunate	222
impression	222
confident	222
Running	221
Article	221
SECRET	221
alright	221
Aigoo	221
loves	221
rankings	220
recognition	219
idiots	219
peace	219
pain	219
search	219
Seeing	218
promoted	218
catch	218
Hae	217
concerts	217
D	217
properly	217
Minah	217
frustrating	216
posts	216
visual	216
ahead	216
Instead	216
claim	216
randomly	215
empty	215
proves	215
suffer	215
lolita	215
control	215
suddenly	215
view	215
higher	214
handle	214
allowed	213
Either	213
fandoms	213
More	213
Naeun	213
claiming	213
buying	212
within	212
Sad	212
share	212
lots	211
fixed	211
TN	211
MAMA	211
Reply	211
status	210
sent	210
dates	210
teaser	209
Something	209
listened	209
Especially	209
brother	209
judging	208
hitting	208
families	208
enjoyed	208
Jiyeon	208
sucks	207
Eunhyuk	207
letting	207
powerful	207
North	207
pulled	206
Bobby	206
spent	206
named	206
suffered	206
meeting	206
dad	206
fuss	205
missing	205
international	205
gorgeous	205
raise	205
Amber	205
thick	205
Whatever	205
ruining	205
Nine	204
greedy	204
save	204
Kris	204
screw	204
nervous	204
phone	204
characters	204
Nana	203
size	203
sticking	203
skinny	203
improved	203
loss	202
education	202
MBLAQ	202
receiving	202
ㅡ	202
sh	202
Asian	202
prefer	202
acted	200
legal	200
total	200
Hyunseung	200
Totally	200
12	200
although	200
goosebumps	200
pants	200
spot	199
idiot	199
buried	199
game	199
immediately	199
0	199
opportunities	199
impact	198
Yonghwa	198
content	198
quietly	198
uploaded	197
perspective	197
screwed	197
Crayon	197
tries	197
absolutely	196
wondering	196
sorts	196
account	196
diss	196
sexually	196
notice	196
response	196
mention	196
film	195
Fei	195
fellow	195
apologizing	195
k	194
bed	194
countries	194
thirties	194
leads	194
Feels	194
claims	194
Bar	194
Na	193
turns	193
lived	193
upsetting	193
Clara	193
Bank	193
grew	193
U	192
interviews	192
Woollim	192
protect	192
shooting	192
goddess	192
unfair	192
changes	192
BtoB	191
breaking	191
contact	191
lacking	191
proper	191
rank	191
duty	191
lucky	191
bias	190
touch	190
Minzy	190
